Vth,p1_AB,p2_CD,sM_exact,outM,x_log2AB,y_log2CD,sL_logsum,outL
274,750,480,1230,1,9.25,8.75,10,1
276,750,480,1230,1,9.25,8.75,10,1
278,750,480,1230,1,9.25,8.75,10,1
280,750,480,1230,1,9.25,8.75,10,1
282,750,480,1230,1,9.25,8.75,10,1
284,750,480,1230,1,9.25,8.75,10,1
286,750,480,1230,1,9.25,8.75,10,1
288,750,480,1230,1,9.25,8.75,10,1
290,750,480,1230,1,9.25,8.75,10,1
292,750,480,1230,1,9.25,8.75,10,1
294,750,480,1230,1,9.25,8.75,10,1
296,750,480,1230,1,9.25,8.75,10,1
298,750,480,1230,1,9.25,8.75,10,1
300,750,480,1230,1,9.25,8.75,10,1
302,750,480,1230,1,9.25,8.75,10,1
304,750,480,1230,1,9.25,8.75,10,1
306,750,480,1230,1,9.25,8.75,10,1
308,750,480,1230,1,9.25,8.75,10,1
310,750,480,1230,1,9.25,8.75,10,1
312,750,480,1230,1,9.25,8.75,10,1
314,750,480,1230,1,9.25,8.75,10,1
316,750,480,1230,1,9.25,8.75,10,1
318,750,480,1230,1,9.25,8.75,10,1
320,750,480,1230,1,9.25,8.75,10,1
322,750,480,1230,1,9.25,8.75,10,1
324,750,480,1230,1,9.25,8.75,10,1
326,750,480,1230,1,9.25,8.75,10,1
328,750,480,1230,1,9.25,8.75,10,1
330,750,480,1230,1,9.25,8.75,10,1
332,750,480,1230,1,9.25,8.75,10,1
334,750,480,1230,1,9.25,8.75,10,1
336,750,480,1230,1,9.25,8.75,10,1
338,750,480,1230,1,9.25,8.75,10,1
340,750,480,1230,1,9.25,8.75,10,1
342,750,480,1230,1,9.25,8.75,10,1
344,750,480,1230,1,9.25,8.75,10,1
346,750,480,1230,1,9.25,8.75,10,1
348,750,480,1230,1,9.25,8.75,10,1
350,750,480,1230,1,9.25,8.75,10,1
352,750,480,1230,1,9.25,8.75,10,1
354,750,480,1230,1,9.25,8.75,10,1
356,750,480,1230,1,9.25,8.75,10,1
358,750,480,1230,1,9.25,8.75,10,1
360,750,480,1230,1,9.25,8.75,10,1
362,750,480,1230,1,9.25,8.75,10,1
364,750,480,1230,1,9.25,8.75,10,1
366,750,480,1230,1,9.25,8.75,10,1
368,750,480,1230,1,9.25,8.75,10,1
370,750,480,1230,1,9.25,8.75,10,1
372,750,480,1230,1,9.25,8.75,10,1
374,750,480,1230,1,9.25,8.75,10,1
376,750,480,1230,1,9.25,8.75,10,1
378,750,480,1230,1,9.25,8.75,10,1
380,750,480,1230,1,9.25,8.75,10,1
382,750,480,1230,1,9.25,8.75,10,1
384,750,480,1230,1,9.25,8.75,10,1
386,750,480,1230,1,9.25,8.75,10,1
388,750,480,1230,1,9.25,8.75,10,1
390,750,480,1230,1,9.25,8.75,10,1
392,750,480,1230,1,9.25,8.75,10,1
394,750,480,1230,1,9.25,8.75,10,1
396,750,480,1230,1,9.25,8.75,10,1
398,750,480,1230,1,9.25,8.75,10,1
400,750,480,1230,1,9.25,8.75,10,1
402,750,480,1230,1,9.25,8.75,10,1
404,750,480,1230,1,9.25,8.75,10,1
406,750,480,1230,1,9.25,8.75,10,1
408,750,480,1230,1,9.25,8.75,10,1
410,750,480,1230,1,9.25,8.75,10,1
412,750,480,1230,1,9.25,8.75,10,1
414,750,480,1230,1,9.25,8.75,10,1
416,750,480,1230,1,9.25,8.75,10,1
418,750,480,1230,1,9.25,8.75,10,1
420,750,480,1230,1,9.25,8.75,10,1
422,750,480,1230,1,9.25,8.75,10,1
424,750,480,1230,1,9.25,8.75,10,1
426,750,480,1230,1,9.25,8.75,10,1
428,750,480,1230,1,9.25,8.75,10,1
430,750,480,1230,1,9.25,8.75,10,1
432,750,480,1230,1,9.25,8.75,10,1
434,750,480,1230,1,9.25,8.75,10,1
436,750,480,1230,1,9.25,8.75,10,1
438,750,480,1230,1,9.25,8.75,10,1
440,750,480,1230,1,9.25,8.75,10,1
442,750,480,1230,1,9.25,8.75,10,1
444,750,480,1230,1,9.25,8.75,10,1
446,750,480,1230,1,9.25,8.75,10,1
448,750,480,1230,1,9.25,8.75,10,1
450,750,480,1230,1,9.25,8.75,10,1
452,750,480,1230,1,9.25,8.75,10,1
454,750,480,1230,1,9.25,8.75,10,1
456,750,480,1230,1,9.25,8.75,10,1
458,750,480,1230,1,9.25,8.75,10,1
460,750,480,1230,1,9.25,8.75,10,1
462,750,480,1230,1,9.25,8.75,10,1
464,750,480,1230,1,9.25,8.75,10,1
466,750,480,1230,1,9.25,8.75,10,1
468,750,480,1230,1,9.25,8.75,10,1
470,750,480,1230,1,9.25,8.75,10,1
472,750,480,1230,1,9.25,8.75,10,1
474,750,480,1230,1,9.25,8.75,10,1
476,750,480,1230,1,9.25,8.75,10,1
478,750,480,1230,1,9.25,8.75,10,1
480,750,480,1230,1,9.25,8.75,10,1
482,750,480,1230,1,9.25,8.75,10,1
484,750,480,1230,1,9.25,8.75,10,1
486,750,480,1230,1,9.25,8.75,10,1
488,750,480,1230,1,9.25,8.75,10,1
490,750,480,1230,1,9.25,8.75,10,1
492,750,480,1230,1,9.25,8.75,10,1
494,750,480,1230,1,9.25,8.75,10,1
496,750,480,1230,1,9.25,8.75,10,1
498,750,480,1230,1,9.25,8.75,10,1
500,750,480,1230,1,9.25,8.75,10,1
502,750,480,1230,1,9.25,8.75,10,1
504,750,480,1230,1,9.25,8.75,10,1
506,750,480,1230,1,9.25,8.75,10,1
508,750,480,1230,1,9.25,8.75,10,1
510,750,480,1230,1,9.25,8.75,10,1
512,750,480,1230,1,9.25,8.75,10,1
514,750,480,1230,1,9.25,8.75,10,1
516,750,480,1230,1,9.25,8.75,10,1
518,750,480,1230,1,9.25,8.75,10,1
520,750,480,1230,1,9.25,8.75,10,1
522,750,480,1230,1,9.25,8.75,10,1
524,750,480,1230,1,9.25,8.75,10,1
526,750,480,1230,1,9.25,8.75,10,1
528,750,480,1230,1,9.25,8.75,10,1
530,750,480,1230,1,9.25,8.75,10,1
532,750,480,1230,1,9.25,8.75,10,1
534,750,480,1230,1,9.25,8.75,10,1
536,750,480,1230,1,9.25,8.75,10,1
538,750,480,1230,1,9.25,8.75,10,1
540,750,480,1230,1,9.25,8.75,10,1
542,750,480,1230,1,9.25,8.75,10,1
544,750,480,1230,1,9.25,8.75,10,1
546,750,480,1230,1,9.25,8.75,10,1
548,750,480,1230,1,9.25,8.75,10,1
550,750,480,1230,1,9.25,8.75,10,1
552,750,480,1230,1,9.25,8.75,10,1
554,750,480,1230,1,9.25,8.75,10,1
556,750,480,1230,1,9.25,8.75,10,1
558,750,480,1230,1,9.25,8.75,10,1
560,750,480,1230,1,9.25,8.75,10,1
562,750,480,1230,1,9.25,8.75,10,1
564,750,480,1230,1,9.25,8.75,10,1
566,750,480,1230,1,9.25,8.75,10,1
568,750,480,1230,1,9.25,8.75,10,1
570,750,480,1230,1,9.25,8.75,10,1
572,750,480,1230,1,9.25,8.75,10,1
574,750,480,1230,1,9.25,8.75,10,1
576,750,480,1230,1,9.25,8.75,10,1
578,750,480,1230,1,9.25,8.75,10,1
580,750,480,1230,1,9.25,8.75,10,1
582,750,480,1230,1,9.25,8.75,10,1
584,750,480,1230,1,9.25,8.75,10,1
586,750,480,1230,1,9.25,8.75,10,1
588,750,480,1230,1,9.25,8.75,10,1
590,750,480,1230,1,9.25,8.75,10,1
592,750,480,1230,1,9.25,8.75,10,1
594,750,480,1230,1,9.25,8.75,10,1
596,750,480,1230,1,9.25,8.75,10,1
598,750,480,1230,1,9.25,8.75,10,1
600,750,480,1230,1,9.25,8.75,10,1
602,750,480,1230,1,9.25,8.75,10,1
604,750,480,1230,1,9.25,8.75,10,1
606,750,480,1230,1,9.25,8.75,10,1
608,750,480,1230,1,9.25,8.75,10,1
610,750,480,1230,1,9.25,8.75,10,1
612,750,480,1230,1,9.25,8.75,10,1
614,750,480,1230,1,9.25,8.75,10,1
616,750,480,1230,1,9.25,8.75,10,1
618,750,480,1230,1,9.25,8.75,10,1
620,750,480,1230,1,9.25,8.75,10,1
622,750,480,1230,1,9.25,8.75,10,1
624,750,480,1230,1,9.25,8.75,10,1
626,750,480,1230,1,9.25,8.75,10,1
628,750,480,1230,1,9.25,8.75,10,1
630,750,480,1230,1,9.25,8.75,10,1
632,750,480,1230,1,9.25,8.75,10,1
634,750,480,1230,1,9.25,8.75,10,1
636,750,480,1230,1,9.25,8.75,10,1
638,750,480,1230,1,9.25,8.75,10,1
640,750,480,1230,1,9.25,8.75,10,1
642,750,480,1230,1,9.25,8.75,10,1
644,750,480,1230,1,9.25,8.75,10,1
646,750,480,1230,1,9.25,8.75,10,1
648,750,480,1230,1,9.25,8.75,10,1
650,750,480,1230,1,9.25,8.75,10,1
652,750,480,1230,1,9.25,8.75,10,1
654,750,480,1230,1,9.25,8.75,10,1
656,750,480,1230,1,9.25,8.75,10,1
658,750,480,1230,1,9.25,8.75,10,1
660,750,480,1230,1,9.25,8.75,10,1
