Vth,p1_AB,p2_CD,sM_exact,outM,x_log2AB,y_log2CD,sL_logsum,outL
1166,750,480,1230,1,9.25,8.75,10,0
1168,750,480,1230,1,9.25,8.75,10,0
1170,750,480,1230,1,9.25,8.75,10,0
1172,750,480,1230,1,9.25,8.75,10,0
1174,750,480,1230,1,9.25,8.75,10,0
1176,750,480,1230,1,9.25,8.75,10,0
1178,750,480,1230,1,9.25,8.75,10,0
1180,750,480,1230,1,9.25,8.75,10,0
1182,750,480,1230,1,9.25,8.75,10,0
1184,750,480,1230,1,9.25,8.75,10,0
1186,750,480,1230,1,9.25,8.75,10,0
1188,750,480,1230,1,9.25,8.75,10,0
1190,750,480,1230,1,9.25,8.75,10,0
1192,750,480,1230,1,9.25,8.75,10,0
1194,750,480,1230,1,9.25,8.75,10,0
1196,750,480,1230,1,9.25,8.75,10,0
1198,750,480,1230,1,9.25,8.75,10,0
1200,750,480,1230,1,9.25,8.75,10,0
1202,750,480,1230,1,9.25,8.75,10,0
1204,750,480,1230,1,9.25,8.75,10,0
1206,750,480,1230,1,9.25,8.75,10,0
1208,750,480,1230,1,9.25,8.75,10,0
1210,750,480,1230,1,9.25,8.75,10,0
1212,750,480,1230,1,9.25,8.75,10,0
1214,750,480,1230,1,9.25,8.75,10,0
1216,750,480,1230,1,9.25,8.75,10,0
1218,750,480,1230,1,9.25,8.75,10,0
1220,750,480,1230,1,9.25,8.75,10,0
1222,750,480,1230,1,9.25,8.75,10,0
1224,750,480,1230,1,9.25,8.75,10,0
1226,750,480,1230,1,9.25,8.75,10,0
1228,750,480,1230,1,9.25,8.75,10,0
1230,750,480,1230,0,9.25,8.75,10,0
1232,750,480,1230,0,9.25,8.75,10,0
1234,750,480,1230,0,9.25,8.75,10,0
1236,750,480,1230,0,9.25,8.75,10,0
1238,750,480,1230,0,9.25,8.75,10,0
1240,750,480,1230,0,9.25,8.75,10,0
1242,750,480,1230,0,9.25,8.75,10,0
1244,750,480,1230,0,9.25,8.75,10,0
1246,750,480,1230,0,9.25,8.75,10,0
1248,750,480,1230,0,9.25,8.75,10,0
1250,750,480,1230,0,9.25,8.75,10,0
1252,750,480,1230,0,9.25,8.75,10,0
1254,750,480,1230,0,9.25,8.75,10,0
1256,750,480,1230,0,9.25,8.75,10,0
1258,750,480,1230,0,9.25,8.75,10,0
1260,750,480,1230,0,9.25,8.75,10,0
1262,750,480,1230,0,9.25,8.75,10,0
1264,750,480,1230,0,9.25,8.75,10,0
1266,750,480,1230,0,9.25,8.75,10,0
1268,750,480,1230,0,9.25,8.75,10,0
1270,750,480,1230,0,9.25,8.75,10,0
1272,750,480,1230,0,9.25,8.75,10,0
1274,750,480,1230,0,9.25,8.75,10,0
1276,750,480,1230,0,9.25,8.75,10,0
1278,750,480,1230,0,9.25,8.75,10,0
1280,750,480,1230,0,9.25,8.75,10,0
1282,750,480,1230,0,9.25,8.75,10,0
1284,750,480,1230,0,9.25,8.75,10,0
1286,750,480,1230,0,9.25,8.75,10,0
1288,750,480,1230,0,9.25,8.75,10,0
1290,750,480,1230,0,9.25,8.75,10,0
1292,750,480,1230,0,9.25,8.75,10,0
1294,750,480,1230,0,9.25,8.75,10,0
1296,750,480,1230,0,9.25,8.75,10,0
1298,750,480,1230,0,9.25,8.75,10,0
1300,750,480,1230,0,9.25,8.75,10,0
1302,750,480,1230,0,9.25,8.75,10,0
1304,750,480,1230,0,9.25,8.75,10,0
1306,750,480,1230,0,9.25,8.75,10,0
1308,750,480,1230,0,9.25,8.75,10,0
1310,750,480,1230,0,9.25,8.75,10,0
1312,750,480,1230,0,9.25,8.75,10,0
1314,750,480,1230,0,9.25,8.75,10,0
1316,750,480,1230,0,9.25,8.75,10,0
1318,750,480,1230,0,9.25,8.75,10,0
1320,750,480,1230,0,9.25,8.75,10,0
1322,750,480,1230,0,9.25,8.75,10,0
1324,750,480,1230,0,9.25,8.75,10,0
1326,750,480,1230,0,9.25,8.75,10,0
1328,750,480,1230,0,9.25,8.75,10,0
1330,750,480,1230,0,9.25,8.75,10,0
1332,750,480,1230,0,9.25,8.75,10,0
1334,750,480,1230,0,9.25,8.75,10,0
1336,750,480,1230,0,9.25,8.75,10,0
1338,750,480,1230,0,9.25,8.75,10,0
1340,750,480,1230,0,9.25,8.75,10,0
1342,750,480,1230,0,9.25,8.75,10,0
1344,750,480,1230,0,9.25,8.75,10,0
1346,750,480,1230,0,9.25,8.75,10,0
1348,750,480,1230,0,9.25,8.75,10,0
1350,750,480,1230,0,9.25,8.75,10,0
1352,750,480,1230,0,9.25,8.75,10,0
1354,750,480,1230,0,9.25,8.75,10,0
1356,750,480,1230,0,9.25,8.75,10,0
1358,750,480,1230,0,9.25,8.75,10,0
1360,750,480,1230,0,9.25,8.75,10,0
1362,750,480,1230,0,9.25,8.75,10,0
1364,750,480,1230,0,9.25,8.75,10,0
1366,750,480,1230,0,9.25,8.75,10,0
1368,750,480,1230,0,9.25,8.75,10,0
1370,750,480,1230,0,9.25,8.75,10,0
1372,750,480,1230,0,9.25,8.75,10,0
1374,750,480,1230,0,9.25,8.75,10,0
1376,750,480,1230,0,9.25,8.75,10,0
1378,750,480,1230,0,9.25,8.75,10,0
1380,750,480,1230,0,9.25,8.75,10,0
1382,750,480,1230,0,9.25,8.75,10,0
1384,750,480,1230,0,9.25,8.75,10,0
1386,750,480,1230,0,9.25,8.75,10,0
1388,750,480,1230,0,9.25,8.75,10,0
1390,750,480,1230,0,9.25,8.75,10,0
1392,750,480,1230,0,9.25,8.75,10,0
1394,750,480,1230,0,9.25,8.75,10,0
1396,750,480,1230,0,9.25,8.75,10,0
1398,750,480,1230,0,9.25,8.75,10,0
1400,750,480,1230,0,9.25,8.75,10,0
1402,750,480,1230,0,9.25,8.75,10,0
1404,750,480,1230,0,9.25,8.75,10,0
1406,750,480,1230,0,9.25,8.75,10,0
1408,750,480,1230,0,9.25,8.75,10,0
1410,750,480,1230,0,9.25,8.75,10,0
1412,750,480,1230,0,9.25,8.75,10,0
1414,750,480,1230,0,9.25,8.75,10,0
1416,750,480,1230,0,9.25,8.75,10,0
1418,750,480,1230,0,9.25,8.75,10,0
1420,750,480,1230,0,9.25,8.75,10,0
1422,750,480,1230,0,9.25,8.75,10,0
1424,750,480,1230,0,9.25,8.75,10,0
1426,750,480,1230,0,9.25,8.75,10,0
1428,750,480,1230,0,9.25,8.75,10,0
1430,750,480,1230,0,9.25,8.75,10,0
1432,750,480,1230,0,9.25,8.75,10,0
1434,750,480,1230,0,9.25,8.75,10,0
1436,750,480,1230,0,9.25,8.75,10,0
1438,750,480,1230,0,9.25,8.75,10,0
1440,750,480,1230,0,9.25,8.75,10,0
1442,750,480,1230,0,9.25,8.75,10,0
1444,750,480,1230,0,9.25,8.75,10,0
1446,750,480,1230,0,9.25,8.75,10,0
1448,750,480,1230,0,9.25,8.75,10,0
1450,750,480,1230,0,9.25,8.75,10,0
1452,750,480,1230,0,9.25,8.75,10,0
1454,750,480,1230,0,9.25,8.75,10,0
1456,750,480,1230,0,9.25,8.75,10,0
1458,750,480,1230,0,9.25,8.75,10,0
1460,750,480,1230,0,9.25,8.75,10,0
1462,750,480,1230,0,9.25,8.75,10,0
1464,750,480,1230,0,9.25,8.75,10,0
1466,750,480,1230,0,9.25,8.75,10,0
1468,750,480,1230,0,9.25,8.75,10,0
1470,750,480,1230,0,9.25,8.75,10,0
1472,750,480,1230,0,9.25,8.75,10,0
1474,750,480,1230,0,9.25,8.75,10,0
1476,750,480,1230,0,9.25,8.75,10,0
1478,750,480,1230,0,9.25,8.75,10,0
1480,750,480,1230,0,9.25,8.75,10,0
1482,750,480,1230,0,9.25,8.75,10,0
1484,750,480,1230,0,9.25,8.75,10,0
1486,750,480,1230,0,9.25,8.75,10,0
1488,750,480,1230,0,9.25,8.75,10,0
1490,750,480,1230,0,9.25,8.75,10,0
1492,750,480,1230,0,9.25,8.75,10,0
1494,750,480,1230,0,9.25,8.75,10,0
1496,750,480,1230,0,9.25,8.75,10,0
1498,750,480,1230,0,9.25,8.75,10,0
1500,750,480,1230,0,9.25,8.75,10,0
1502,750,480,1230,0,9.25,8.75,10,0
1504,750,480,1230,0,9.25,8.75,10,0
1506,750,480,1230,0,9.25,8.75,10,0
1508,750,480,1230,0,9.25,8.75,10,0
1510,750,480,1230,0,9.25,8.75,10,0
1512,750,480,1230,0,9.25,8.75,10,0
1514,750,480,1230,0,9.25,8.75,10,0
1516,750,480,1230,0,9.25,8.75,10,0
1518,750,480,1230,0,9.25,8.75,10,0
1520,750,480,1230,0,9.25,8.75,10,0
1522,750,480,1230,0,9.25,8.75,10,0
1524,750,480,1230,0,9.25,8.75,10,0
1526,750,480,1230,0,9.25,8.75,10,0
1528,750,480,1230,0,9.25,8.75,10,0
1530,750,480,1230,0,9.25,8.75,10,0
1532,750,480,1230,0,9.25,8.75,10,0
1534,750,480,1230,0,9.25,8.75,10,0
1536,750,480,1230,0,9.25,8.75,10,0
1538,750,480,1230,0,9.25,8.75,10,0
1540,750,480,1230,0,9.25,8.75,10,0
1542,750,480,1230,0,9.25,8.75,10,0
1544,750,480,1230,0,9.25,8.75,10,0
1546,750,480,1230,0,9.25,8.75,10,0
1548,750,480,1230,0,9.25,8.75,10,0
1550,750,480,1230,0,9.25,8.75,10,0
1552,750,480,1230,0,9.25,8.75,10,0
1554,750,480,1230,0,9.25,8.75,10,0
1556,750,480,1230,0,9.25,8.75,10,0
1558,750,480,1230,0,9.25,8.75,10,0
1560,750,480,1230,0,9.25,8.75,10,0
1562,750,480,1230,0,9.25,8.75,10,0
1564,750,480,1230,0,9.25,8.75,10,0
1566,750,480,1230,0,9.25,8.75,10,0
1568,750,480,1230,0,9.25,8.75,10,0
1570,750,480,1230,0,9.25,8.75,10,0
1572,750,480,1230,0,9.25,8.75,10,0
1574,750,480,1230,0,9.25,8.75,10,0
1576,750,480,1230,0,9.25,8.75,10,0
1578,750,480,1230,0,9.25,8.75,10,0
1580,750,480,1230,0,9.25,8.75,10,0
1582,750,480,1230,0,9.25,8.75,10,0
1584,750,480,1230,0,9.25,8.75,10,0
1586,750,480,1230,0,9.25,8.75,10,0
1588,750,480,1230,0,9.25,8.75,10,0
1590,750,480,1230,0,9.25,8.75,10,0
1592,750,480,1230,0,9.25,8.75,10,0
1594,750,480,1230,0,9.25,8.75,10,0
1596,750,480,1230,0,9.25,8.75,10,0
1598,750,480,1230,0,9.25,8.75,10,0
1600,750,480,1230,0,9.25,8.75,10,0
1602,750,480,1230,0,9.25,8.75,10,0
1604,750,480,1230,0,9.25,8.75,10,0
1606,750,480,1230,0,9.25,8.75,10,0
1608,750,480,1230,0,9.25,8.75,10,0
1610,750,480,1230,0,9.25,8.75,10,0
1612,750,480,1230,0,9.25,8.75,10,0
1614,750,480,1230,0,9.25,8.75,10,0
1616,750,480,1230,0,9.25,8.75,10,0
1618,750,480,1230,0,9.25,8.75,10,0
1620,750,480,1230,0,9.25,8.75,10,0
1622,750,480,1230,0,9.25,8.75,10,0
1624,750,480,1230,0,9.25,8.75,10,0
1626,750,480,1230,0,9.25,8.75,10,0
1628,750,480,1230,0,9.25,8.75,10,0
1630,750,480,1230,0,9.25,8.75,10,0
1632,750,480,1230,0,9.25,8.75,10,0
1634,750,480,1230,0,9.25,8.75,10,0
1636,750,480,1230,0,9.25,8.75,10,0
1638,750,480,1230,0,9.25,8.75,10,0
1640,750,480,1230,0,9.25,8.75,10,0
1642,750,480,1230,0,9.25,8.75,10,0
1644,750,480,1230,0,9.25,8.75,10,0
1646,750,480,1230,0,9.25,8.75,10,0
1648,750,480,1230,0,9.25,8.75,10,0
1650,750,480,1230,0,9.25,8.75,10,0
1652,750,480,1230,0,9.25,8.75,10,0
1654,750,480,1230,0,9.25,8.75,10,0
1656,750,480,1230,0,9.25,8.75,10,0
1658,750,480,1230,0,9.25,8.75,10,0
1660,750,480,1230,0,9.25,8.75,10,0
1662,750,480,1230,0,9.25,8.75,10,0
1664,750,480,1230,0,9.25,8.75,10,0
1666,750,480,1230,0,9.25,8.75,10,0
1668,750,480,1230,0,9.25,8.75,10,0
1670,750,480,1230,0,9.25,8.75,10,0
1672,750,480,1230,0,9.25,8.75,10,0
1674,750,480,1230,0,9.25,8.75,10,0
1676,750,480,1230,0,9.25,8.75,10,0
1678,750,480,1230,0,9.25,8.75,10,0
1680,750,480,1230,0,9.25,8.75,10,0
1682,750,480,1230,0,9.25,8.75,10,0
1684,750,480,1230,0,9.25,8.75,10,0
1686,750,480,1230,0,9.25,8.75,10,0
1688,750,480,1230,0,9.25,8.75,10,0
1690,750,480,1230,0,9.25,8.75,10,0
1692,750,480,1230,0,9.25,8.75,10,0
1694,750,480,1230,0,9.25,8.75,10,0
1696,750,480,1230,0,9.25,8.75,10,0
1698,750,480,1230,0,9.25,8.75,10,0
1700,750,480,1230,0,9.25,8.75,10,0
1702,750,480,1230,0,9.25,8.75,10,0
1704,750,480,1230,0,9.25,8.75,10,0
1706,750,480,1230,0,9.25,8.75,10,0
1708,750,480,1230,0,9.25,8.75,10,0
1710,750,480,1230,0,9.25,8.75,10,0
1712,750,480,1230,0,9.25,8.75,10,0
1714,750,480,1230,0,9.25,8.75,10,0
1716,750,480,1230,0,9.25,8.75,10,0
1718,750,480,1230,0,9.25,8.75,10,0
1720,750,480,1230,0,9.25,8.75,10,0
1722,750,480,1230,0,9.25,8.75,10,0
1724,750,480,1230,0,9.25,8.75,10,0
1726,750,480,1230,0,9.25,8.75,10,0
1728,750,480,1230,0,9.25,8.75,10,0
1730,750,480,1230,0,9.25,8.75,10,0
1732,750,480,1230,0,9.25,8.75,10,0
1734,750,480,1230,0,9.25,8.75,10,0
1736,750,480,1230,0,9.25,8.75,10,0
1738,750,480,1230,0,9.25,8.75,10,0
1740,750,480,1230,0,9.25,8.75,10,0
1742,750,480,1230,0,9.25,8.75,10,0
1744,750,480,1230,0,9.25,8.75,10,0
1746,750,480,1230,0,9.25,8.75,10,0
1748,750,480,1230,0,9.25,8.75,10,0
1750,750,480,1230,0,9.25,8.75,10,0
1752,750,480,1230,0,9.25,8.75,10,0
1754,750,480,1230,0,9.25,8.75,10,0
1756,750,480,1230,0,9.25,8.75,10,0
1758,750,480,1230,0,9.25,8.75,10,0
1760,750,480,1230,0,9.25,8.75,10,0
1762,750,480,1230,0,9.25,8.75,10,0
1764,750,480,1230,0,9.25,8.75,10,0
1766,750,480,1230,0,9.25,8.75,10,0
1768,750,480,1230,0,9.25,8.75,10,0
1770,750,480,1230,0,9.25,8.75,10,0
1772,750,480,1230,0,9.25,8.75,10,0
1774,750,480,1230,0,9.25,8.75,10,0
1776,750,480,1230,0,9.25,8.75,10,0
1778,750,480,1230,0,9.25,8.75,10,0
1780,750,480,1230,0,9.25,8.75,10,0
1782,750,480,1230,0,9.25,8.75,10,0
1784,750,480,1230,0,9.25,8.75,10,0
1786,750,480,1230,0,9.25,8.75,10,0
1788,750,480,1230,0,9.25,8.75,10,0
1790,750,480,1230,0,9.25,8.75,10,0
1792,750,480,1230,0,9.25,8.75,10,0
1794,750,480,1230,0,9.25,8.75,10,0
1796,750,480,1230,0,9.25,8.75,10,0
1798,750,480,1230,0,9.25,8.75,10,0
1800,750,480,1230,0,9.25,8.75,10,0
1802,750,480,1230,0,9.25,8.75,10,0
1804,750,480,1230,0,9.25,8.75,10,0
1806,750,480,1230,0,9.25,8.75,10,0
1808,750,480,1230,0,9.25,8.75,10,0
1810,750,480,1230,0,9.25,8.75,10,0
1812,750,480,1230,0,9.25,8.75,10,0
1814,750,480,1230,0,9.25,8.75,10,0
1816,750,480,1230,0,9.25,8.75,10,0
1818,750,480,1230,0,9.25,8.75,10,0
1820,750,480,1230,0,9.25,8.75,10,0
1822,750,480,1230,0,9.25,8.75,10,0
1824,750,480,1230,0,9.25,8.75,10,0
1826,750,480,1230,0,9.25,8.75,10,0
1828,750,480,1230,0,9.25,8.75,10,0
1830,750,480,1230,0,9.25,8.75,10,0
1832,750,480,1230,0,9.25,8.75,10,0
1834,750,480,1230,0,9.25,8.75,10,0
1836,750,480,1230,0,9.25,8.75,10,0
1838,750,480,1230,0,9.25,8.75,10,0
1840,750,480,1230,0,9.25,8.75,10,0
1842,750,480,1230,0,9.25,8.75,10,0
1844,750,480,1230,0,9.25,8.75,10,0
1846,750,480,1230,0,9.25,8.75,10,0
1848,750,480,1230,0,9.25,8.75,10,0
1850,750,480,1230,0,9.25,8.75,10,0
1852,750,480,1230,0,9.25,8.75,10,0
1854,750,480,1230,0,9.25,8.75,10,0
1856,750,480,1230,0,9.25,8.75,10,0
1858,750,480,1230,0,9.25,8.75,10,0
1860,750,480,1230,0,9.25,8.75,10,0
1862,750,480,1230,0,9.25,8.75,10,0
1864,750,480,1230,0,9.25,8.75,10,0
1866,750,480,1230,0,9.25,8.75,10,0
1868,750,480,1230,0,9.25,8.75,10,0
1870,750,480,1230,0,9.25,8.75,10,0
1872,750,480,1230,0,9.25,8.75,10,0
1874,750,480,1230,0,9.25,8.75,10,0
1876,750,480,1230,0,9.25,8.75,10,0
1878,750,480,1230,0,9.25,8.75,10,0
1880,750,480,1230,0,9.25,8.75,10,0
1882,750,480,1230,0,9.25,8.75,10,0
1884,750,480,1230,0,9.25,8.75,10,0
1886,750,480,1230,0,9.25,8.75,10,0
1888,750,480,1230,0,9.25,8.75,10,0
1890,750,480,1230,0,9.25,8.75,10,0
1892,750,480,1230,0,9.25,8.75,10,0
1894,750,480,1230,0,9.25,8.75,10,0
1896,750,480,1230,0,9.25,8.75,10,0
1898,750,480,1230,0,9.25,8.75,10,0
1900,750,480,1230,0,9.25,8.75,10,0
1902,750,480,1230,0,9.25,8.75,10,0
1904,750,480,1230,0,9.25,8.75,10,0
1906,750,480,1230,0,9.25,8.75,10,0
1908,750,480,1230,0,9.25,8.75,10,0
1910,750,480,1230,0,9.25,8.75,10,0
1912,750,480,1230,0,9.25,8.75,10,0
1914,750,480,1230,0,9.25,8.75,10,0
1916,750,480,1230,0,9.25,8.75,10,0
1918,750,480,1230,0,9.25,8.75,10,0
1920,750,480,1230,0,9.25,8.75,10,0
1922,750,480,1230,0,9.25,8.75,10,0
1924,750,480,1230,0,9.25,8.75,10,0
1926,750,480,1230,0,9.25,8.75,10,0
1928,750,480,1230,0,9.25,8.75,10,0
1930,750,480,1230,0,9.25,8.75,10,0
1932,750,480,1230,0,9.25,8.75,10,0
1934,750,480,1230,0,9.25,8.75,10,0
1936,750,480,1230,0,9.25,8.75,10,0
1938,750,480,1230,0,9.25,8.75,10,0
1940,750,480,1230,0,9.25,8.75,10,0
1942,750,480,1230,0,9.25,8.75,10,0
1944,750,480,1230,0,9.25,8.75,10,0
1946,750,480,1230,0,9.25,8.75,10,0
1948,750,480,1230,0,9.25,8.75,10,0
1950,750,480,1230,0,9.25,8.75,10,0
1952,750,480,1230,0,9.25,8.75,10,0
1954,750,480,1230,0,9.25,8.75,10,0
1956,750,480,1230,0,9.25,8.75,10,0
1958,750,480,1230,0,9.25,8.75,10,0
1960,750,480,1230,0,9.25,8.75,10,0
1962,750,480,1230,0,9.25,8.75,10,0
1964,750,480,1230,0,9.25,8.75,10,0
1966,750,480,1230,0,9.25,8.75,10,0
1968,750,480,1230,0,9.25,8.75,10,0
1970,750,480,1230,0,9.25,8.75,10,0
1972,750,480,1230,0,9.25,8.75,10,0
1974,750,480,1230,0,9.25,8.75,10,0
1976,750,480,1230,0,9.25,8.75,10,0
1978,750,480,1230,0,9.25,8.75,10,0
1980,750,480,1230,0,9.25,8.75,10,0
1982,750,480,1230,0,9.25,8.75,10,0
1984,750,480,1230,0,9.25,8.75,10,0
1986,750,480,1230,0,9.25,8.75,10,0
1988,750,480,1230,0,9.25,8.75,10,0
1990,750,480,1230,0,9.25,8.75,10,0
1992,750,480,1230,0,9.25,8.75,10,0
1994,750,480,1230,0,9.25,8.75,10,0
1996,750,480,1230,0,9.25,8.75,10,0
1998,750,480,1230,0,9.25,8.75,10,0
2000,750,480,1230,0,9.25,8.75,10,0
